,title,published,lat,lon,link_url,description,cause,acres
76,Yogo Fire (Wildfire),"Fri, 23 Oct 2020 09:41:35 -06:00",46.915,-110.545,http://inciweb.nwcg.gov/incident/7229/," The Yogo Fire is now 100 percent contained, however, due to snow on the fire, we are unable to check for hazardous conditions, and therefore the Area Closure will remain in place for the foreseeable future.  On the afternoon of Saturday, October 3 a fire was reported on the Judith Musselshell Ranger District.  The Yogo Fire is located in the Little Belt Mountains and its origin is about 1.5 miles south of Yogo Peak.  The Helena-Lewis & Clark National Forest is working in close coordination with the Montana Department of Natural Resources & Conservation and Judith Basin County for planning closures and pre-evaction notices for potential impacts to any private land holders.    ",Burned Area Emergency Response,n/a
77,Slink Fire (Wildfire),"Thu, 22 Oct 2020 18:21:04 -06:00",38.567777777778,-119.56777777778,http://inciweb.nwcg.gov/incident/7105/,"The Slink Fire was reported on August 29th at 6 p.m. in the Slinkard Valley southwest of Topaz Lake as a result of lightning in the area.Situation Update: The Slink Fire is 90% contained. Because of steep and rugged terrain and the priority on firefighter safety, the last 10% of the fire located in the Carson Iceberg Wilderness will not have fireline constructed around it and will continue to smolder until it receives precipitation.  Members of the public should expect to continue to see smoke, as interior pockets of unburned fuel continue to burn. These areas are well within the fire perimeter and pose no threat to containment lines. Firefighters from both the Carson and Bridgeport Ranger Districts will continue to patrol and monitor the fire, but will not no longer be staffing it.   October 22nd, 2020: The Slink Fire closure has been reduced by 126,805 acres and is now confined to the fire’s footprint, meaning that areas that are burned or within the perimeter of the fire...",Unknown,193812
78,Ironwood Fire (Wildfire),"Tue, 20 Oct 2020 17:52:06 -06:00",31.921666666667,-109.95722222222,http://inciweb.nwcg.gov/incident/7250/,"                  ­­­       USDA Forest Service Coronado National Forest Southwestern Region Web: www.fs.usda.gov/Coronado  Facebook:@CoronadoNF Twitter: @CoronadoNF Fire Information Line: 520-991-9226 Email: gerald_perry@firenet.gov     Ironwood Fire Update October 19, 2020      Location of Origin: Dragoon Mountains off  Ironwood Road Size: 130 acres Jurisdiction: Coronado National Forest   Percent Contained: 0% Personnel: 40 Cause: Human caused, under investigation Additional info: https://inciweb.nwcg.gov/      Ironwood Fire Burns in the Dragoon Mountains Douglas, AZ, October 19, 2020 – The Ironwood Fire was ignited near Ironwood Road on the eastern side of the Dragoon Mountains on October 18, 2020. The fire is burning on the Douglas Ranger District of the Coronado National Forest in very rough terrain in extremely dry, dense, chaparral brush and grass that has not been exposed to fire for many decades. Engines and fire fighters responded immediately yesterday and...",Unknown,379895
79,Lionshead Fire (Wildfire),"Sat, 17 Oct 2020 14:06:17 -06:00",44.7225,-121.67888888889,http://inciweb.nwcg.gov/incident/7049/," Lightning sparked the Lionshead Fire, which began August 16, 2020, in Lionshead Canyon on the Confederated Tribes of Warm Springs Reservation approximately 14 miles west of the Warm Springs community.  An historic windstorm arrived in the area on Monday, September 7, rapidly spreading the fire west onto the Willamette, Deschutes and Mt. Hood National Forests.  The Lionshead Fire has heavily impacted several communities in the Santiam drainage and Breitenbush area, including the loss of 264 resident homes in Detroit. Highly valued natural and cultural resources were also threatened.",Human,138054
80,Sears Fire (Wildfire),"Fri, 16 Oct 2020 15:16:34 -06:00",33.883333333333,-111.81583333333,http://inciweb.nwcg.gov/incident/7218/," FINAL UPDATE: Sears Fire - Oct. 4 Seven Springs Road and Horseshoe Dam Road Reopen  PHOENIX, Oct. 4, 2020 –Management of the Sears Fire will transition back to the Cave Creek Ranger District at 6 p.m., Sunday evening. This will be the final news update unless there are significant changes in fire activity. The fire remains at 14,476 acres and is 60 percent contained. Residents and visitors to the area may see occasional smoke over the next several days as interior pockets of vegetation continue to burn within the fire perimeter. Large ash whirls (similar to dust devils) are frequently seen within the burned area as well. Firefighters continue to monitor areas around critical infrastructure on Humboldt Lookout and are closely monitoring structures in the Camp Creek recreation residences. Road grading to repair impacts from firefighting vehicles on Seven Springs Road (NFSR 24) and Horseshoe Road (NFSR 205) was completed over the weekend. There are approximately 60 personnel assigned...",Unknown,124924
81,2020 Umatilla NF Prescribed Fire (Prescribed Fire),"Fri, 16 Oct 2020 10:30:40 -06:00",45.67,-118.87,http://inciweb.nwcg.gov/incident/5808/,"The Umatilla National Forest prescribed fire page contains information on the Forest's planned, active and completed prescribed burning for 2019. In general, there are two burn seasons each year to accomplish prescribed fire projects. Early season burns typically occur in late winter through the early fire season in late spring/early summer. Late season burns typically occur in late fire season and into December. The specific dates of a burn during a season is dependent on many variables including wildfire activity, resource availability, current and predicted weather, and smoke management constraints.  Frequent, low-intensity fire is essential for healthy forests and reducing the risk of uncharacteristic wildfire caused by excessive fuel buildup. Prescribed burning is an effective tool for removing excessive amounts of brush, shrubs, and trees, while also encouraging the growth of native vegetation. NEW! Prescribed Fire Activity Interactive Map (This interactive map will be best...",Prescribed Fire,n/a
82,Cinnabar Fire (Wildfire),"Fri, 16 Oct 2020 09:35:27 -06:00",46.590555555556,-113.79916666667,http://inciweb.nwcg.gov/incident/7063/,"The Cinnabar Fire is a lightning-caused fire burning within the Welcome Creek Wilderness on the Missoula Ranger District on the Lolo National Forest in Granite County.The fire is approximately 10 air miles east of Stevensville, MT and 15 miles south of I-90 in the Rock Creek drainage.   ",Lightning,8177
83,Horton Fire (Wildfire),"Thu, 15 Oct 2020 17:25:01 -06:00",34.366388888889,-111.06111111111,http://inciweb.nwcg.gov/incident/7241/,The Horton Fire is at 100 percent containment.  Firefighters will continue to monitor the fire perimeter and extinguish any hot spots that may exist with the fire's footprint. No structures were damaged in this fire.  The cause of the fire still remains under,Unknown,208913
84,Buck Fire (Wildfire),"Wed, 14 Oct 2020 13:27:34 -06:00",44.785555555556,-115.47611111111,http://inciweb.nwcg.gov/incident/7102/, ,Prescribed Fire,n/a
85,Medio Fire BAER Team (Burned Area Emergency Response),"Wed, 14 Oct 2020 11:21:35 -06:00",35.817222222222,-105.85166666667,http://inciweb.nwcg.gov/incident/7133/," It's all about the ""E"" (BAER) = EmergencyTHREE PHASES OF WILDFIRE RECOVERYThere are three phases of recovery following wildfires on federal lands:Fire Suppression Repair Emergency Stabilization-Burned Area Emergency Response (BAER)Long-Term Recovery and Restoration Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take...",Prescribed Fire,n/a
86,Colorado 2 (Wildfire),"Tue, 13 Oct 2020 14:07:15 -06:00",35.293888888889,-107.58,http://inciweb.nwcg.gov/incident/7236/,Fire burning in timber with grass understory north of Mt. Taylor in Colorado,Burned Area Emergency Response,n/a
87,Badger (Wildfire),"Tue, 13 Oct 2020 10:37:28 -06:00",42.091388888889,-114.16888888889,http://inciweb.nwcg.gov/incident/7196/,"The Badger Fire is located on the Minidoka Ranger District 20 miles southwest of Oakley, ID. The fire started on September 12, 2020 near Badger Gulch off Forest Road 533 and 536; the cause is unknown.  High winds and critically dry fuels resulted in extreme fire behavior, including long-range spotting and fire whorls, and caused the fire to grow rapidly.  Command of the Badger Fire will transition back to the Sawtooth National Forest as of 6 a.m. Monday morning. This will be the final update for the Badger fire and all further communications will be handle through the Sawtooth National Forest. Most of the Badger Fire Road, Trail, and Area Closure has been lifted, there are several areas that will remain closed due to unsafe conditions or resource concerns.  The following areas remain closed to the public:The Rock Creek road up to Diamondfield Jack is all open but the areas to the side of the road are closed. The closure starts at the Forest Boundary to the fire edge at Third Fork...",Unknown,24995
88,Holiday Farm Fire (Wildfire),"Mon, 12 Oct 2020 21:38:03 -06:00",44.171944444444,-122.23111111111,http://inciweb.nwcg.gov/incident/7170/,"The Holiday Farm Fire is burning on the Willamette National Forest, Bureau of Land Management-NW Oregon and lands protected by the Oregon Department of Forestry-South Cascade District.  ",Burned Area Emergency Response,n/a
89,Medio Fire (Wildfire),"Mon, 12 Oct 2020 14:21:46 -06:00",35.831111111111,-105.86333333333,http://inciweb.nwcg.gov/incident/7031/,"The Medio Fire started on August 17, 2020, close to the forest boundary with Nambe Pueblo and about 1.5 miles from the Village of Rio en Medio between two streams, the Rio Nambe and the Rio en Medio. Fuels are primarily dry mixed conifer tapering to ponderosa pine at lower elevations. Heavy fuels in steep, rugged terrain add complexity to efforts to control the Medio Fire. Contrary to a traditional monsoon season, fuel moistures are very low for this time of year, and other fire indices are unseasonably high. Fire behavior has ranged from moderate to extreme, driven by terrain and winds. Due to the remote location of the fire and the rugged terrain, the strategy will be a combination of direct and indirect perimeter control and point protection. The Southwest Area Type 2 Incident Management Team 4, led by Incident Commander Carl Schwope, assumed command of the Medio Fire on Friday, August 21 at 6:00 AM. Please see the News tab or the Recent Articles heading below for daily updates...",Unknown,193812
90,Thielsen (Wildfire),"Sat, 10 Oct 2020 08:46:15 -06:00",43.160277777778,-122.06972222222,http://inciweb.nwcg.gov/incident/7195/," October 9, 2020: This page is no longer being updated. Updates for the Thielsen Fire can be found on the Archie Creek Fire Inciweb page. Thielsen Fire Information can also be obtained at 941-334-7674 or 2020.archiecreek@firenet.gov.  Tuesday, September 8, 2020, at approximately 8:30 AM, firefighters responded to a wildfire in the Mount Thielsen Wilderness. The fire began in the tree line near the Pacific Crest Trail within the Diamond Lake Ranger District. The east wind event caused the fire to run northwest and jump Highway 138 E.   As of October 6, Northwest Incident Management Team 12 (Incident Commander Bob Shindelar) is managing the Thielsen Fire along with the Archie Creek Fire.  Most of the fire activity on the Thielsen Fire has decreased significantly. The fire will continue to produce smoke from stumps and logs that are still burning. ",Unknown,14833
91,Woodward Fire (Wildfire),"Fri, 09 Oct 2020 14:14:13 -06:00",38.018333333333,-122.83888888889,http://inciweb.nwcg.gov/incident/7062/,"The Woodward Fire, located in the Point Reyes National Seashore, started August 18th, 2020, around 2:27pm just south of the Woodward Trail, west of the Bear Valley Visitor Center in Olema, California and about one mile inland from Limantour Beach. The cause of the fire was determined to be lightning. Updates: The Woodward Fire is being managed a type four Incident Command from Yosemite National Park. For the latest information click the News tab or visit our social media channels:- Facebook: PointReyesNPS- Twitter: @PointReyesNPS- YouTube: https://tinyurl.com/yxpjg35c   Maps: See Maps tab for daily fire map update. Marin County also puts out an interactive map that shows current fire extent, hot spots, and evacuation status for the Woodward Fire area at https://bit.ly/2Ex41Ko.Air Quality: Air quality maps are available through the Bay Area Air Quality Management District  at https://www.baaqmd.gov/ .  For additional air quality information visit:...",Unknown,379895
92,Drumming Fire (Wildfire),"Sat, 03 Oct 2020 14:24:31 -06:00",48.140277777778,-113.16472222222,http://inciweb.nwcg.gov/incident/7088/,"Closure orders for the Helena-Lewis and Clark National Forest have been lifted. The only closure remaining in effect is the original trail closure on the Flathead National Forest: Trail #179 is closed from its junction with Trail #391 north to the Continental Divide. Please see the official closure order and the Bob Marshall Wilderness Complex Closure maps. Significant rainfall (Schafer Meadows recorded 0.53"" of rain on September 24th), cool temperatures, and snowfall at higher elevations have resulted in a recension of the most recent area closure orders on both the Helena-Lewis and Clark and Flathead National Forests. Fire personnel have been removed from Schafer Meadows and from Badger Cabin. The smoke monitor that was placed at Heart Butte has also been removed. Duty officers on each forest will remain attentive in the coming weeks should their be any unexpected changes to the situation. The Drumming Fire was detected by a Forest Health flight during the afternoon of August...",Human,138054
93,Garnet Fire (Wildfire),"Sat, 03 Oct 2020 14:10:05 -06:00",47.636944444444,-113.44333333333,http://inciweb.nwcg.gov/incident/6988/,"The area closure for the Garnet Fire has been lifted, please see the Bob Marshall Wilderness Complex maps. Due to precipitation (Salmon Forks Cabin received 0.17' of rain on September 24th), cooler temperatures, and snowfall at high elevations, the area closure for the Garnet Fire has been lifted and crews have been removed from the Salmon Forks Administrative site. The Spotted Bear Ranger District will remain alert for any unexpected changes in the coming weeks. The Garnet Fire began August 15th, 2020 as a result of lightning. The fire is burning mid to upper slope on the northeast aspect of the ridge that separates the Little Salmon and Big Salmon drainages, approximately four miles up drainage from the South Fork of the Flathead River on the west side of Garnet Creek. As of September 6th, the fire has spotted across the Garnet Creek drainage and is now well established on the NW facing slope as well. Current fire behavior is classified as creeping, mainly upslope to the south;...",Unknown,124924
94,South Obenchain Fire (Wildfire),"Wed, 30 Sep 2020 12:42:55 -06:00",42.467222222222,-122.68333333333,http://inciweb.nwcg.gov/incident/7185/,"The South Obenchain Fire is burning in Jackson County. The fire was reported September 8, 2020 at 1:59 pm.  The fire cause remains under",Prescribed Fire,n/a
95,Porphyry Fire (Wildfire),"Mon, 28 Sep 2020 18:09:01 -06:00",45.247777777778,-115.4375,http://inciweb.nwcg.gov/incident/7146/," Porphyry Fire UpdateSeptember 28, 2020  All fire area closures have been lifted on the Porphyry Fire.Trail and road closures have all been lifted and access is open to hunter and recreators. Please be cautious in and around the fire area as fire weekend trees and hot spots are still present. Smoke may still be visible at times but there is no need to report it as the fire will continue to be monitored by air and ground resources, until a season ending rain event occurs. Structure protection will take place as needed and crews are clearing out the Mosquito Ridge Trail and Hand Creek Trail. The Porphyry Fire is still estimated at 14,486 acres, due to more accurate mapping, as fire progression was slowed thanks to rain and lower temperatures. No season ending event is forecasted for the Payette National Forest area. A season ending event is when wide spread precipitation of a quarter inch is received for three consecutive day.  Temperatures will begin to climb back up through...",Lightning,8177
96,Brattain Fire (Wildfire),"Mon, 28 Sep 2020 09:57:50 -06:00",42.571666666667,-120.5575,http://inciweb.nwcg.gov/incident/7172/,"    Summary: The Brattain fire started on September 7, 2020 on the Paisley Ranger District of the Fremont-Winema National Forest. Firefighting crews battled winds, extremely dry conditions and shortages of firefighting resources.      ",Unknown,208913
97,Rattlesnake Fire (Wildfire),"Thu, 24 Sep 2020 16:14:27 -06:00",46.185,-117.68527777778,http://inciweb.nwcg.gov/incident/7069/,"The Umatilla National Forest received abundant lightning on Tuesday, Aug. 18 across the Forest. The Rattlesnake Fire was reported on Aug. 19 at 10:35 a.m. It is located in the Wenaha-Tucannon Wilderness approximately 20 miles south of Pomeroy, Washington and a quarter mile south of Panjab campground. The fire is between two steep ridges within the 2006 Columbia Complex fire scar, in grass, brush, snags and timber with dead and down trees.Some burning and smoldering in heavier fuels remains and some smoke is still visible in the interior as stumps and heavy fuels continue to burn out. However, fire line construction is complete and suppression repair work continues. A type 2 crew remains on the fire for a few more days. The Northern Rockies Incident Management Team 3 turned the Rattlesnake Fire back to the local unit on Wed., Sept. 2 at 6 a.m. The Forest has implemented a temporary road, trail and area closure surrounding the Rattlesnake Fire for public safety. Effective Wednesday,...",Prescribed Fire,n/a
98,Williams Fork Post-Fire BAER (Burned Area Emergency Response),"Thu, 24 Sep 2020 13:56:40 -06:00",39.783333333333,-106,http://inciweb.nwcg.gov/incident/7211/,"THREE PHASES OF WILDFIRE RECOVERY  There are three phases of recovery following wildfires on federal lands:   Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts. Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate actions to implement emergency stabilization measures before the first post-fire damaging events. Fires result in loss of vegetation, exposure of...",Prescribed Fire,n/a
99,Pine Gulch Fire (Wildfire),"Thu, 24 Sep 2020 12:52:31 -06:00",39.336111111111,-108.52555555556,http://inciweb.nwcg.gov/incident/6906/,"   The Pine Gulch Fire was started by a lightning strike on July 31, 2020, approximately 18 miles north of Grand Junction, Colorado. Initial Attack resources were unable to corral this remote wildfire as it spread rapidly through grass, sage, pinyon juniper and fir.             The combination of drought-stressed vegetation, unseasonably hot weather and steep terrain led to weeks of active burning. Smoke columns were often visible from Grand Junction and the surrounding area as the wildfire exhibited extreme fire behavior.  During the night of August 18, the fire grew quickly due to thunderstorm winds up to 40 mph for a three to four hour period.  As a result, the fire increased by more than 30,000 acres that night.           Firefighters worked to protect homes and outbuildings using a combination of bulldozers and handcrews to build firelines. Road systems were used as control lines where crews initiated firing operations to slow the fire spread.            As of August 27,...",Burned Area Emergency Response,n/a
100,Superstition Fire (Wildfire),"Wed, 23 Sep 2020 19:27:13 -06:00",33.405,-111.38527777778,http://inciweb.nwcg.gov/incident/7046/," SUPERSTITION FIRE: This is the final update for the Superstition Fire. The Southwest Area Incident Management Team 2 led by Incident Commander John Pierson thanks the local communities and cooperators for your support during suppression of Superstition Fire. YESTERDAY:  Firefighters patrolled and monitored the perimeter. The Superstition Fire showed minimal growth yesterday. The area has received significant rainfall and grassy fuels that have previously enabled fire spread have mostly burned over. TODAY’S ACTIVITY:  Minimal fire behavior is expected on the Superstition Fire today. Fire crews will continue to monitor the fire perimeter The Southwest Area Incident Management Team 2 has returned fire management to the local unit. SUPERSTITION FIRE CLOSURES:Hwy 88 closures have been lifted.Canyon Lake and all surrounding recreation areas remain closed.Lost Dutchman, all surrounding trailheads and trails remain closed.Areas west of Peralta Canyon Road, areas north of...",Unknown,24995
101,Griffin Fire (Wildfire),"Wed, 23 Sep 2020 19:26:02 -06:00",33.5825,-110.70111111111,http://inciweb.nwcg.gov/incident/7020/,"AnnouncementsClosuresNewsPhotos VideosMaps The Griffin Fire is 100% Contained as of September 2, 2020.  This page will no longer be",Burned Area Emergency Response,n/a
102,William Fire (Wildfire),"Wed, 23 Sep 2020 16:46:10 -06:00",39.936944444444,-111.77888888889,http://inciweb.nwcg.gov/incident/7178/,"The William Fire started on September 6, 2020 at approximately 2 pm. The fire was caused by target shooting. Due to hot weather and strong winds the fire spread rapidly and doubled in size over a few days. Snow and rain moved into the area September 8, 2020 bringing cooler temperatures which dramatically decreased fire behavior. Two suppression strategies are being implemented. The first approach is Full Suppression and the second is Confine Strategy. The dual approach will meet the objective of 100% full perimeter containment where fuels and terrain are favorable for successful suppression while providing for firefighter safety. All sections of the perimeter that can be safely accessed have been secured, accounting for the 49% containment. Management Action Points have been put in place to confine the remaining perimeter to the east and south.Confine Strategy, as defined by the National Wildfire Coordinating Group (NWCG), ""is to restrict a wildfire to a defined area, using a...",Unknown,193812
103,Ether Hollow  (Wildfire),"Wed, 23 Sep 2020 16:23:05 -06:00",40.144722222222,-111.55,http://inciweb.nwcg.gov/incident/7180/,"The Ether Hollow Fire started on September 7, 2020 at approximately 5:30 pm. The fire was caused by target shooting. Due to hot and dry conditions the fire was very active the first operational shift. Because of the urban interface multiple homes and families were initially impacted, no structures were damaged. Great Basin Team 3 transitioned command of the fire to a local Type 4 incident management team on Tuesday September 22, 2020. Minimal smoke may be visible and can be expected until a season ending event with significant rain or snow. Interior pockets of vegetation may continue to smolder in the more remote areas of the fire that could not be safely accessed. There will no longer be regular daily updates unless there is something significant to",Unknown,14833
104,Lobo Mesa Fire (Wildfire),"Wed, 23 Sep 2020 13:29:56 -06:00",44.802222222222,-111.80055555556,http://inciweb.nwcg.gov/incident/7194/,"The Lobo Mesa Fire started September 12 at approximately 11:00 am between Cascade Mountain and Lobo Mesa in the southern Gravelly Mountains, in the head of the Cascade Drainage. The fire is approximately 150 acres and burning in a very remote area with poor access for firefighters.  The fire growth today is mostly due to more accurate mapping as well as encompassing a fair bit of unburned area with numerous very small spot fires, mostly on the northeast corner.  It is still roughly one-fourth mile from the Hell Roaring Drainage on the north side of the fire.  The south side of the fire has shown minimal fire behavior for two days now.    Due to the moderate fire behavior and predicted moisture entering the fire area, this will be the last press release until significant activity occurs. ",Lightning,174178
105,Grizzly Creek Post-Fire BAER (Burned Area Emergency Response),"Wed, 23 Sep 2020 10:38:44 -06:00",39.469444444444,-107.16944444444,http://inciweb.nwcg.gov/incident/7209/,"    THREE PHASES OF WILDFIRE RECOVERY        There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Unknown,379895
106,2020 Humboldt-Toiyabe Initial Attack (Wildfire),"Tue, 22 Sep 2020 20:14:44 -06:00",39.523888888889,-119.71888888889,http://inciweb.nwcg.gov/incident/6779/,"For all emerging initial attack incidents on the Humboldt Toiyabe National Forest, please refer to this page. Any large fires will have a new ""incident"" page started in InciWeb and the link will appear next to the fire name and status.Carson Ranger District8/30/2020 BIG SKY. Located a mile north of leadership Parkway and the east keystone Trailhead. 2.4 acres. Contained.8/25/2020 13:52 SNOW FLOWER. Located just north of Mt. Rose in the Mt. Rose wilderness. 1/10th acre. Contained. 8/24/2020 09:24 PEAK. Located on Pickett Peak east of Hope Valley. 1/10th acre. Resources on scene. Contained 8/24/20208/24/20 04:30 BOWERS. Located in Washoe Valley west of Bowers Mansion. 1/10th acre. Contained 8/24/2020. 8/18/20 17:59 BRONCO. Located off Garson Rd one mile south of Fuller Lake. 0.34 acres. Contained 8/19/2020. 7/27/2020 13:46 DARK. Located in Dark Canyon. 0.25 acres. 100% contained 7/28/2020. 7/26/2020 15:36 MUSSER. Located near Markleeville, west of Hot Springs Rd. 0.25 acres. 100%...",Human,138054
107,Two Four Two Fire (Wildfire),"Tue, 22 Sep 2020 13:57:12 -06:00",42.653333333333,-121.86916666667,http://inciweb.nwcg.gov/incident/7159/,"The Two Four Two Fire was discovered on the Chiloquin Ranger District of the Fremont-Winema National Forest the evening of September 7. The fire was wind-driven that quickly grew in size, moving south-southwest towards the Chiloquin",Unknown,124924
108,Downey Creek Fire (Wildfire),"Mon, 21 Sep 2020 17:08:14 -06:00",48.264166666667,-121.21027777778,http://inciweb.nwcg.gov/incident/7190/," The Downey Creek Fire started on August 16, 2020 at 12:25 pm in the Glacier Peak Wilderness. The suspected cause of the fire is lightning. The fire is located approximately 17 miles from Darrington, Washington. Several trails and two campgrounds are closed as a result of the fire. The Downey Creek Fire Closure is in effect from September 11, 2020 until October 31, 2020, unless rescinded sooner.",Prescribed Fire,n/a
109,Sunnyside Complex (Wildfire),"Fri, 18 Sep 2020 09:55:49 -06:00",46.4525,-116.28583333333,http://inciweb.nwcg.gov/incident/7164/," Mike Almas' Type 2 Northern Rockies Incident Management Team assumed command of the Sunnyside Complex on Tuesday, September 8, 2020 at 6:00 p.m.  The Sunnyside Complex includes the Clover Fire and the MM 49",Lightning,8177
110,P-515 Fire (Wildfire),"Thu, 17 Sep 2020 13:33:51 -06:00",44.773333333333,-121.6175,http://inciweb.nwcg.gov/incident/7050/,"The P-515 Fire has merged with Lionshead Fire. Visit https://inciweb.nwcg.gov/incident/7049/ for additional information. The fire is actively burning in areas of timber with grass, shrub, and a patchy conifer understory on the Warm Springs Reservation, approximately 14 miles west of the Warm Springs community.  It is being managed with a full suppression strategy. Lightning was determined to be the cause of the fire.  Suppression priorities include limiting the spread of the fire, protecting structures, and minimizing impacts to important cultural and natural resources.    ",Unknown,208913
111,Whitney Fire (Wildfire),"Wed, 16 Sep 2020 22:43:59 -06:00",47.707222222222,-118.26027777778,http://inciweb.nwcg.gov/incident/7183/,"Beginning September 17, 2020, anyone needing information on the Whitney Fire can contact: (509) 685-6900. Please check for changes to the current evacuation levels on the Lincoln County Sheriff's Facebook page: https://www.facebook.com/WadeMagersLincolnCountySheriff Northwest Incident Management Team 10 appreciates the support and cooperation from the surrounding communities, agencies, fire districts, and other partnering organizations. Thank you for making our firefighters feel welcome. The sense of cohesiveness and positive attitudes within the community contributed to the successful completion of this incident.Please see the News section for fire updates in English and",Prescribed Fire,n/a
112,Babb-Malden/Manning Fires (Wildfire),"Wed, 16 Sep 2020 16:50:40 -06:00",47.282222222222,-117.4275,http://inciweb.nwcg.gov/incident/7187/,"For information on the Babb-Malden and Manning fires contact: (509) 685-6900.Babb-Malden Fire - Approximately 15,266 acres have burned on this fire and is now 90 percent contained. The fire has been turned back to the local units for management.Manning Fire - 2,685 acres have burned on this fire and is now 90 percent contained. The fire was turned back to the local units for fire management. SAFETY - Reduce wildfire risk, know your local fire",Prescribed Fire,n/a
113,Indian Creek Fire (Wildfire),"Wed, 16 Sep 2020 16:30:45 -06:00",43.804722222222,-117.89222222222,http://inciweb.nwcg.gov/incident/6991/,"Indian Creek Fire Summary Updated August 29, 2020Northwest Incident Management Team 13 will transfer the Indian Creek Fire suppression to High Desert Type 3 Incident Management Team under the command of Rob Gubser tomorrow, August 30th. NWIMT13’s successful management and suppression efforts by firefighters over the past two weeks is due in large part to the tremendous support of the communities of Juntura, Harper, Westfall, and Vale.This will be the final update from Team 13. Future updates will be generated by Vale Bureau of Land Management as needed.The Indian Creek Fire was reported at 12:30 p.m. MT Sunday, Aug. 16, along Hwy. 20 at Jonesboro, just outside Juntura, Ore. It is burning in priority sage-grouse habitat on private, state and Vale BLM-managed lands in sagebrush, juniper and grassland. The size of the fire is currently estimated to be approximately 48,128 acres. Pacific Northwest Type 2 Incident Management Team 13, under Incident Commander Brian Gales, assumed...",Burned Area Emergency Response,n/a
114,Pearl Hill Fire (Wildfire),"Wed, 16 Sep 2020 11:02:22 -06:00",48.055833333333,-119.48416666667,http://inciweb.nwcg.gov/incident/7169/,"The Pearl Hill Fire started September 7, 2020 at 3:39 AM near Bridgeport, WA.  The fire spread quickly due to strong winds and low relative humidity.  Local fire crews responded and provided point protection.  Multiple structures have been lost.  No injuries have been reported.  Level 3 evacuations and numerous road closures are in effect. Current evacuation orders and road closures can be found at facebook.com/douglascountywa/. Residents can call (509) 670-5331 for Red Cross assistance.  The North Central Washington Fairgrounds  in Waterville is available for livestock. They can be reached at (509)",Unknown,24995
115,Apple Acres Fire (Wildfire),"Tue, 15 Sep 2020 23:09:22 -06:00",47.908611111111,-119.9625,http://inciweb.nwcg.gov/incident/7181/,"The Apple Acres Fire started September 7, 2020 at 11:33 AM four miles north of Chelan, WA.  The fire spread quickly due to strong winds and low relative humidity.  Local fire crews responded and provided point protection. No injuries have been reported.  Level 3 evacuations and numerous road closures were in effect. Evacuations were reduced to Level at 8:00 AM on Thursday, September 10, 2020. Residents can call (509) 670-5331 for Red Cross",Burned Area Emergency Response,n/a
116,Sarpy (Wildfire),"Mon, 14 Sep 2020 20:18:49 -06:00",45.716388888889,-107.05583333333,http://inciweb.nwcg.gov/incident/7143/,"This Sarpy fire Inciweb webpage may not be updated after September 14, 2020. The fire is contained but as of September 14, is neither controlled nor declared out. Please get more current info from BIA Crow Agency by calling 406-638-2247 and asking for the information officer, or by emailing crowfireinfo@gmail.com.During a bout of severe fire weather and Red Flag warning Wednesday, September 2, 2020, the Sarpy fire started from an underground burning coal seam in the northeast corner of the Crow Reservation. The first day it burned about 48,000 acres of grass and ponderosa pine on both the Crow and Northern Cheyenne Reservations, moved fifteen miles in five hours, and burned near to two homes along US Highway 212 east of Busby, Montana, on the Northern Cheyenne Reservation. Evacuations along US 212 were removed by the Northern Cheyenne tribe September 3.A joint command of BIA Crow Agency and BIA Northern Cheyenne fire managers coordinated to contain the fire, but > local ranchers and...",Unknown,193812
